country,"Food product","Production Kg","World Emissions per kg","Total emissiones per country vs product","AVG(`Total emissiones per country vs product`) OVER(partition by `Food product`)"
Hungary,Peas,154151790,0.8,123321432,323397756.2352941
Slovakia,Peas,1142284210,0.8,913827368,323397756.2352941
Denmark,Peas,674017500,0.8,539214000,323397756.2352941
Romania,Peas,139578760,0.8,111663008,323397756.2352941
Sweden,Peas,271429750,0.8,217143800,323397756.2352941
Portugal,Peas,105727250,0.8,84581800,323397756.2352941
Latvia,Peas,93089000,0.8,74471200,323397756.2352941
Italy,Peas,84665230,0.8,67732184,323397756.2352941
Spain,Peas,71420890,0.8,57136712,323397756.2352941
"Bosnia and Herzegovina",Peas,1090977270,0.8,872781816,323397756.2352941
Austria,Peas,797610,0.8,638088,323397756.2352941
Luxembourg,Peas,47121370,0.8,37697096,323397756.2352941
Germany,Peas,45573820,0.8,36459056,323397756.2352941
Netherlands,Peas,726547630,0.8,581238104,323397756.2352941
Finland,Peas,1253000,0.8,1002400,323397756.2352941
Ireland,Peas,43474500,0.8,34779600,323397756.2352941
Greece,Peas,435429550,0.8,348343640,323397756.2352941
Montenegro,Peas,2729620,0.8,2183696,323397756.2352941
Albania,Peas,4009518280,0.8,3207614624,323397756.2352941
Belarus,Peas,32630770,0.8,26104616,323397756.2352941
Belgium,Peas,27315060,0.8,21852048,323397756.2352941
Czechia,Peas,4283000,0.8,3426400,323397756.2352941
Bulgaria,Peas,5134460,0.8,4107568,323397756.2352941
Malta,Peas,11057200,0.8,8845760,323397756.2352941
Serbia,Peas,414895390,0.8,331916312,323397756.2352941
Slovenia,Peas,993587570,0.8,794870056,323397756.2352941
Poland,Peas,401067950,0.8,320854360,323397756.2352941
France,Peas,10582280,0.8,8465824,323397756.2352941
"North Macedonia",Peas,9499170,0.8,7599336,323397756.2352941
Denmark,Apples,1669692680,0.3,500907804,500743694.7352941
Montenegro,Apples,28121785750,0.3,8436535725,500743694.7352941
Portugal,Apples,4527690550,0.3,1358307165,500743694.7352941
Czechia,Apples,160310,0.3,48093,500743694.7352941
Sweden,Apples,4308445200,0.3,1292533560,500743694.7352941
Latvia,Apples,3874261850,0.3,1162278555,500743694.7352941
France,Apples,2217110,0.3,665133,500743694.7352941
Spain,Apples,2379569680,0.3,713870904,500743694.7352941
Finland,Apples,3897500,0.3,1169250,500743694.7352941
"Bosnia and Herzegovina",Apples,1816088820,0.3,544826646,500743694.7352941
Bulgaria,Apples,8622230,0.3,2586669,500743694.7352941
"North Macedonia",Apples,1205613820,0.3,361684146,500743694.7352941
Ireland,Apples,959262000,0.3,287778600,500743694.7352941
Slovakia,Apples,894001380,0.3,268200414,500743694.7352941
Netherlands,Apples,804494960,0.3,241348488,500743694.7352941
Lithuania,Apples,797844140,0.3,239353242,500743694.7352941
Croatia,Apples,24364790,0.3,7309437,500743694.7352941
Ukraine,Apples,26949310,0.3,8084793,500743694.7352941
Hungary,Apples,785361270,0.3,235608381,500743694.7352941
Italy,Apples,29843230,0.3,8952969,500743694.7352941
Switzerland,Apples,777390060,0.3,233217018,500743694.7352941
Germany,Apples,36344730,0.3,10903419,500743694.7352941
Estonia,Apples,36550000,0.3,10965000,500743694.7352941
Malta,Apples,686467500,0.3,205940250,500743694.7352941
Slovenia,Apples,585440010,0.3,175632003,500743694.7352941
Albania,Apples,59566540,0.3,17869962,500743694.7352941
Serbia,Apples,568828730,0.3,170648619,500743694.7352941
Belarus,Apples,378459640,0.3,113537892,500743694.7352941
Greece,Apples,355777270,0.3,106733181,500743694.7352941
Austria,Apples,288728910,0.3,86618673,500743694.7352941
Belgium,Apples,144029230,0.3,43208769,500743694.7352941
Luxembourg,Apples,260718000,0.3,78215400,500743694.7352941
Poland,Apples,166823060,0.3,50046918,500743694.7352941
Romania,Apples,165661810,0.3,49698543,500743694.7352941
Ukraine,Potatoes,299264079090,0.3,89779223727,5715140196
France,Potatoes,10025559230,0.3,3007667769,5715140196
Slovenia,Potatoes,9373451910,0.3,2812035573,5715140196
"North Macedonia",Potatoes,20670590,0.3,6201177,5715140196
"Bosnia and Herzegovina",Potatoes,14727240,0.3,4418172,5715140196
Czechia,Potatoes,34039490,0.3,10211847,5715140196
Latvia,Potatoes,8076176750,0.3,2422853025,5715140196
Lithuania,Potatoes,39164760,0.3,11749428,5715140196
Netherlands,Potatoes,10642461450,0.3,3192738435,5715140196
Hungary,Potatoes,10063640,0.3,3019092,5715140196
Romania,Potatoes,113273820,0.3,33982146,5715140196
Italy,Potatoes,11756323170,0.3,3526896951,5715140196
Luxembourg,Potatoes,2638680,0.3,791604,5715140196
Portugal,Potatoes,2221090,0.3,666327,5715140196
Switzerland,Potatoes,5985663000,0.3,1795698900,5715140196
Sweden,Potatoes,1637750,0.3,491325,5715140196
Belarus,Potatoes,819500,0.3,245850,5715140196
Albania,Potatoes,208750050,0.3,62625015,5715140196
Slovakia,Potatoes,16124703180,0.3,4837410954,5715140196
Ireland,Potatoes,187750,0.3,56325,5715140196
Montenegro,Potatoes,253193120,0.3,75957936,5715140196
Estonia,Potatoes,86647925500,0.3,25994377650,5715140196
Finland,Potatoes,34166768000,0.3,10250030400,5715140196
Serbia,Potatoes,1351018580,0.3,405305574,5715140196
Poland,Potatoes,152500,0.3,45750,5715140196
Bulgaria,Potatoes,4122193530,0.3,1236658059,5715140196
Belgium,Potatoes,130460.00000000001,0.3,39138,5715140196
Malta,Potatoes,1793695300,0.3,538108590,5715140196
Croatia,Potatoes,104240,0.3,31272,5715140196
Greece,Potatoes,1578865710,0.3,473659713,5715140196
Spain,Potatoes,3155000000,0.3,946500000,5715140196
Denmark,Potatoes,18356209110,0.3,5506862733,5715140196
Austria,Potatoes,0,0.3,0,5715140196
Germany,Potatoes,124594020690,0.3,37378206207,5715140196
